method,dataset,step_setting,metric,time_type,result,threshold_type
scNODE,SuoDataset,multi_step,threshold,Real Time,0.0,prc
scNODE,SuoDataset,multi_step,F1,Real Time,0.6775956284153005,prc
scNODE,SuoDataset,multi_step,AUC_PRC,Real Time,0.5399566042554607,prc
scNODE,SuoDataset,multi_step,PRECISION,Real Time,0.512396694214876,prc
scNODE,SuoDataset,multi_step,RECALL,Real Time,1.0,prc
scNODE,SuoDataset,multi_step,AUC_ROC,Real Time,0.5166757791142701,prc
scNODE,SuoDataset,single_step,threshold,Real Time,0.0,prc
scNODE,SuoDataset,single_step,F1,Real Time,0.16666666666666666,prc
scNODE,SuoDataset,single_step,AUC_PRC,Real Time,0.14862756887835255,prc
scNODE,SuoDataset,single_step,PRECISION,Real Time,0.09090909090909091,prc
scNODE,SuoDataset,single_step,RECALL,Real Time,1.0,prc
scNODE,SuoDataset,single_step,AUC_ROC,Real Time,0.6126126126126126,prc
scNODE,GarciaAlonsoDataset,multi_step,threshold,Real Time,0.0,prc
scNODE,GarciaAlonsoDataset,multi_step,F1,Real Time,0.6666666666666666,prc
scNODE,GarciaAlonsoDataset,multi_step,AUC_PRC,Real Time,0.4478395061728395,prc
scNODE,GarciaAlonsoDataset,multi_step,PRECISION,Real Time,0.5,prc
scNODE,GarciaAlonsoDataset,multi_step,RECALL,Real Time,1.0,prc
scNODE,GarciaAlonsoDataset,multi_step,AUC_ROC,Real Time,0.22839506172839508,prc
scNODE,GarciaAlonsoDataset,single_step,threshold,Real Time,0.0,prc
scNODE,GarciaAlonsoDataset,single_step,F1,Real Time,0.2857142857142857,prc
scNODE,GarciaAlonsoDataset,single_step,AUC_PRC,Real Time,0.14555555555555555,prc
scNODE,GarciaAlonsoDataset,single_step,PRECISION,Real Time,0.16666666666666666,prc
scNODE,GarciaAlonsoDataset,single_step,RECALL,Real Time,1.0,prc
scNODE,GarciaAlonsoDataset,single_step,AUC_ROC,Real Time,0.4709677419354838,prc
scNODE,MaDataset,multi_step,threshold,Real Time,0.0,prc
scNODE,MaDataset,multi_step,F1,Real Time,0.72,prc
scNODE,MaDataset,multi_step,AUC_PRC,Real Time,0.5305555555555557,prc
scNODE,MaDataset,multi_step,PRECISION,Real Time,0.5625,prc
scNODE,MaDataset,multi_step,RECALL,Real Time,1.0,prc
scNODE,MaDataset,multi_step,AUC_ROC,Real Time,0.36507936507936506,prc
scNODE,MaDataset,single_step,threshold,Real Time,0.0,prc
scNODE,MaDataset,single_step,F1,Real Time,0.4,prc
scNODE,MaDataset,single_step,AUC_PRC,Real Time,0.3402777777777778,prc
scNODE,MaDataset,single_step,PRECISION,Real Time,0.25,prc
scNODE,MaDataset,single_step,RECALL,Real Time,1.0,prc
scNODE,MaDataset,single_step,AUC_ROC,Real Time,0.641025641025641,prc
scNODE,GarciaAlonsoDataset,multi_step,threshold,Pseudotime,0.0,prc
scNODE,GarciaAlonsoDataset,multi_step,F1,Pseudotime,0.6666666666666666,prc
scNODE,GarciaAlonsoDataset,multi_step,AUC_PRC,Pseudotime,0.4357193732193732,prc
scNODE,GarciaAlonsoDataset,multi_step,PRECISION,Pseudotime,0.5,prc
scNODE,GarciaAlonsoDataset,multi_step,RECALL,Pseudotime,1.0,prc
scNODE,GarciaAlonsoDataset,multi_step,AUC_ROC,Pseudotime,0.3487654320987654,prc
scNODE,GarciaAlonsoDataset,single_step,threshold,Pseudotime,0.0,prc
scNODE,GarciaAlonsoDataset,single_step,F1,Pseudotime,0.2857142857142857,prc
scNODE,GarciaAlonsoDataset,single_step,AUC_PRC,Pseudotime,0.18504273504273505,prc
scNODE,GarciaAlonsoDataset,single_step,PRECISION,Pseudotime,0.16666666666666666,prc
scNODE,GarciaAlonsoDataset,single_step,RECALL,Pseudotime,1.0,prc
scNODE,GarciaAlonsoDataset,single_step,AUC_ROC,Pseudotime,0.5806451612903225,prc
scNODE,SuoDataset,multi_step,threshold,Pseudotime,0.0,prc
scNODE,SuoDataset,multi_step,F1,Pseudotime,0.6775956284153005,prc
scNODE,SuoDataset,multi_step,AUC_PRC,Pseudotime,0.5984675333018853,prc
scNODE,SuoDataset,multi_step,PRECISION,Pseudotime,0.512396694214876,prc
scNODE,SuoDataset,multi_step,RECALL,Pseudotime,1.0,prc
scNODE,SuoDataset,multi_step,AUC_ROC,Pseudotime,0.5984144341170038,prc
scNODE,SuoDataset,single_step,threshold,Pseudotime,0.9596586,prc
scNODE,SuoDataset,single_step,F1,Pseudotime,0.18181818181818182,prc
scNODE,SuoDataset,single_step,AUC_PRC,Pseudotime,0.18978845708936537,prc
scNODE,SuoDataset,single_step,PRECISION,Pseudotime,1.0,prc
