method,dataset,step_setting,metric,time_type,result,prc_threshold
Moscot,SuoDataset,all_paths,threshold,Real Time,0.062115148,True
Moscot,SuoDataset,all_paths,F1,Real Time,0.7692307692307693,True
Moscot,SuoDataset,all_paths,AUC_PRC,Real Time,0.5853197277539466,True
Moscot,SuoDataset,all_paths,PRECISION,Real Time,0.8181818181818182,True
Moscot,SuoDataset,all_paths,RECALL,Real Time,0.7258064516129032,True
Moscot,SuoDataset,all_paths,AUC_ROC,Real Time,0.5537178786221979,True
Moscot,SuoDataset,simple,threshold,Real Time,0.0,True
Moscot,SuoDataset,simple,F1,Real Time,0.1666666666666666,True
Moscot,SuoDataset,simple,AUC_PRC,Real Time,0.27140132290892,True
Moscot,SuoDataset,simple,PRECISION,Real Time,0.0909090909090909,True
Moscot,SuoDataset,simple,RECALL,Real Time,1.0,True
Moscot,SuoDataset,simple,AUC_ROC,Real Time,0.6765765765765765,True
Moscot,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.08138889,True
Moscot,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666,True
Moscot,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.4646894187395995,True
Moscot,GarciaAlonsoDataset,all_paths,PRECISION,Real Time,0.5,True
Moscot,GarciaAlonsoDataset,all_paths,RECALL,Real Time,1.0,True
Moscot,GarciaAlonsoDataset,all_paths,AUC_ROC,Real Time,0.2993827160493827,True
Moscot,GarciaAlonsoDataset,simple,threshold,Real Time,0.030271398,True
Moscot,GarciaAlonsoDataset,simple,F1,Real Time,0.3448275862068966,True
Moscot,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.3670475659606094,True
Moscot,GarciaAlonsoDataset,simple,PRECISION,Real Time,0.2083333333333333,True
Moscot,GarciaAlonsoDataset,simple,RECALL,Real Time,1.0,True
Moscot,GarciaAlonsoDataset,simple,AUC_ROC,Real Time,0.6451612903225806,True
Moscot,MaDataset,all_paths,threshold,Real Time,0.1369748,True
Moscot,MaDataset,all_paths,F1,Real Time,0.875,True
Moscot,MaDataset,all_paths,AUC_PRC,Real Time,0.6438271604938273,True
Moscot,MaDataset,all_paths,PRECISION,Real Time,1.0,True
Moscot,MaDataset,all_paths,RECALL,Real Time,0.7777777777777778,True
Moscot,MaDataset,all_paths,AUC_ROC,Real Time,0.4285714285714285,True
Moscot,MaDataset,simple,threshold,Real Time,0.03009027,True
Moscot,MaDataset,simple,F1,Real Time,0.5,True
Moscot,MaDataset,simple,AUC_PRC,Real Time,0.7777777777777777,True
Moscot,MaDataset,simple,PRECISION,Real Time,0.3333333333333333,True
Moscot,MaDataset,simple,RECALL,Real Time,1.0,True
Moscot,MaDataset,simple,AUC_ROC,Real Time,0.8461538461538461,True
Moscot,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.07638191,True
Moscot,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.8372093023255814,True
Moscot,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.5222879991720571,True
Moscot,GarciaAlonsoDataset,all_paths,PRECISION,Pseudotime,0.72,True
Moscot,GarciaAlonsoDataset,all_paths,RECALL,Pseudotime,1.0,True
Moscot,GarciaAlonsoDataset,all_paths,AUC_ROC,Pseudotime,0.4444444444444444,True
Moscot,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.066715725,True
Moscot,GarciaAlonsoDataset,simple,F1,Pseudotime,0.5882352941176471,True
Moscot,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.5360606060606061,True
Moscot,GarciaAlonsoDataset,simple,PRECISION,Pseudotime,0.4166666666666667,True
Moscot,GarciaAlonsoDataset,simple,RECALL,Pseudotime,1.0,True
Moscot,GarciaAlonsoDataset,simple,AUC_ROC,Pseudotime,0.8709677419354839,True
Moscot,SuoDataset,all_paths,threshold,Pseudotime,0.026381668,True
Moscot,SuoDataset,all_paths,F1,Pseudotime,0.7482014388489209,True
Moscot,SuoDataset,all_paths,AUC_PRC,Pseudotime,0.5891701860410762,True
Moscot,SuoDataset,all_paths,PRECISION,Pseudotime,0.6753246753246753,True
Moscot,SuoDataset,all_paths,RECALL,Pseudotime,0.8387096774193549,True
Moscot,SuoDataset,all_paths,AUC_ROC,Pseudotime,0.5680699835975942,True
Moscot,SuoDataset,simple,threshold,Pseudotime,0.00012528973,True
Moscot,SuoDataset,simple,F1,Pseudotime,0.1904761904761904,True
Moscot,SuoDataset,simple,AUC_PRC,Pseudotime,0.2234360859658959,True
Moscot,SuoDataset,simple,PRECISION,Pseudotime,0.1052631578947368,True
Moscot,SuoDataset,simple,RECALL,Pseudotime,1.0,True
Moscot,SuoDataset,simple,AUC_ROC,Pseudotime,0.6833333333333333,True
Moscot,MaDataset,all_paths,threshold,Pseudotime,0.112059474,True
Moscot,MaDataset,all_paths,F1,Pseudotime,0.9473684210526316,True
Moscot,MaDataset,all_paths,AUC_PRC,Pseudotime,0.5987654320987654,True
Moscot,MaDataset,all_paths,PRECISION,Pseudotime,0.9,True
Moscot,MaDataset,all_paths,RECALL,Pseudotime,1.0,True
Moscot,MaDataset,all_paths,AUC_ROC,Pseudotime,0.5079365079365079,True
Moscot,MaDataset,simple,threshold,Pseudotime,0.09785203,True
Moscot,MaDataset,simple,F1,Pseudotime,0.8571428571428571,True
Moscot,MaDataset,simple,AUC_PRC,Pseudotime,0.6388888888888888,True
Moscot,MaDataset,simple,PRECISION,Pseudotime,0.75,True
Moscot,MaDataset,simple,RECALL,Pseudotime,1.0,True
Moscot,MaDataset,simple,AUC_ROC,Pseudotime,0.9230769230769232,True
Moscot,SuoDataset,all_paths,JaccardSimilarity,Real Time,0.625,True
Moscot,SuoDataset,simple,JaccardSimilarity,Real Time,0.0909090909090909,True
Moscot,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Real Time,0.5,True
Moscot,GarciaAlonsoDataset,simple,JaccardSimilarity,Real Time,0.2083333333333333,True
Moscot,MaDataset,all_paths,JaccardSimilarity,Real Time,0.7777777777777778,True
Moscot,MaDataset,simple,JaccardSimilarity,Real Time,0.3333333333333333,True
Moscot,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Pseudotime,0.72,True
Moscot,GarciaAlonsoDataset,simple,JaccardSimilarity,Pseudotime,0.4166666666666667,True
Moscot,SuoDataset,all_paths,JaccardSimilarity,Pseudotime,0.5977011494252874,True
Moscot,SuoDataset,simple,JaccardSimilarity,Pseudotime,0.1052631578947368,True
Moscot,MaDataset,all_paths,JaccardSimilarity,Pseudotime,0.9,True
Moscot,MaDataset,simple,JaccardSimilarity,Pseudotime,0.75,True
scNODE,SuoDataset,all_paths,threshold,Real Time,0.0,True
scNODE,SuoDataset,all_paths,F1,Real Time,0.6775956284153005,True
scNODE,SuoDataset,all_paths,AUC_PRC,Real Time,0.5399566042554607,True
scNODE,SuoDataset,all_paths,PRECISION,Real Time,0.512396694214876,True
scNODE,SuoDataset,all_paths,RECALL,Real Time,1.0,True
scNODE,SuoDataset,all_paths,AUC_ROC,Real Time,0.5166757791142701,True
scNODE,SuoDataset,simple,threshold,Real Time,0.0,True
scNODE,SuoDataset,simple,F1,Real Time,0.1666666666666666,True
scNODE,SuoDataset,simple,AUC_PRC,Real Time,0.1486275688783525,True
scNODE,SuoDataset,simple,PRECISION,Real Time,0.0909090909090909,True
scNODE,SuoDataset,simple,RECALL,Real Time,1.0,True
scNODE,SuoDataset,simple,AUC_ROC,Real Time,0.6126126126126126,True
scNODE,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.0,True
scNODE,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666,True
scNODE,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.4478395061728395,True
scNODE,GarciaAlonsoDataset,all_paths,PRECISION,Real Time,0.5,True
scNODE,GarciaAlonsoDataset,all_paths,RECALL,Real Time,1.0,True
scNODE,GarciaAlonsoDataset,all_paths,AUC_ROC,Real Time,0.228395061728395,True
scNODE,GarciaAlonsoDataset,simple,threshold,Real Time,0.0,True
scNODE,GarciaAlonsoDataset,simple,F1,Real Time,0.2857142857142857,True
