method,dataset,step_setting,metric,time_type,result, prc_threshold
scIMF,SuoDataset,all_paths,threshold,Real Time,0.0, True
scIMF,SuoDataset,all_paths,F1,Real Time,0.6775956284153005, True
scIMF,SuoDataset,all_paths,AUC_PRC,Real Time,0.5088446855931978, True
scIMF,SuoDataset,simple,threshold,Real Time,0.0, True
scIMF,SuoDataset,simple,F1,Real Time,0.16666666666666666, True
scIMF,SuoDataset,simple,AUC_PRC,Real Time,0.12166381761204195, True
scIMF,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.06284658, True
scIMF,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666, True
scIMF,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.3887165537765296, True
scIMF,GarciaAlonsoDataset,simple,threshold,Real Time,0.042349383, True
scIMF,GarciaAlonsoDataset,simple,F1,Real Time,0.30303030303030304, True
scIMF,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.19745767872366338, True
MIOFlow,SuoDataset,all_paths,threshold,Real Time,0.0, True
MIOFlow,SuoDataset,all_paths,F1,Real Time,0.6775956284153005, True
MIOFlow,SuoDataset,all_paths,AUC_PRC,Real Time,0.5836538430314756, True
MIOFlow,SuoDataset,simple,threshold,Real Time,0.0, True
MIOFlow,SuoDataset,simple,F1,Real Time,0.16666666666666666, True
MIOFlow,SuoDataset,simple,AUC_PRC,Real Time,0.21282607344808302, True
scIMF,MaDataset,all_paths,threshold,Real Time,0.07321966, True
scIMF,MaDataset,all_paths,F1,Real Time,0.72, True
scIMF,MaDataset,all_paths,AUC_PRC,Real Time,0.42828282828282827, True
scIMF,MaDataset,simple,threshold,Real Time,0.063189566, True
scIMF,MaDataset,simple,F1,Real Time,0.46153846153846156, True
scIMF,MaDataset,simple,AUC_PRC,Real Time,0.2388888888888889, True
CellMNN,SuoDataset,all_paths,threshold,Real Time,0.0, True
CellMNN,SuoDataset,all_paths,F1,Real Time,0.6775956284153005, True
CellMNN,SuoDataset,all_paths,AUC_PRC,Real Time,0.5509758744348956, True
CellMNN,SuoDataset,simple,threshold,Real Time,0.0, True
CellMNN,SuoDataset,simple,F1,Real Time,0.16666666666666666, True
CellMNN,SuoDataset,simple,AUC_PRC,Real Time,0.15622746141709848, True
scIMF,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.08484006, True
scIMF,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.6666666666666666, True
scIMF,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.3999629296412922, True
scIMF,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.08484006, True
scIMF,GarciaAlonsoDataset,simple,F1,Pseudotime,0.47619047619047616, True
scIMF,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.2736111111111111, True
MIOFlow,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.035149384, True
MIOFlow,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666, True
MIOFlow,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.3754397851708878, True
MIOFlow,GarciaAlonsoDataset,simple,threshold,Real Time,0.014368541, True
MIOFlow,GarciaAlonsoDataset,simple,F1,Real Time,0.30303030303030304, True
MIOFlow,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.15874458874458874, True
MIOFlow,MaDataset,all_paths,threshold,Real Time,0.083333336, True
MIOFlow,MaDataset,all_paths,F1,Real Time,0.72, True
MIOFlow,MaDataset,all_paths,AUC_PRC,Real Time,0.45606060606060606, True
MIOFlow,MaDataset,simple,threshold,Real Time,0.033099297, True
MIOFlow,MaDataset,simple,F1,Real Time,0.42857142857142855, True
MIOFlow,MaDataset,simple,AUC_PRC,Real Time,0.31313131313131315, True
CellMNN,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.003024956, True
CellMNN,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666, True
CellMNN,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.4362938596491229, True
CellMNN,GarciaAlonsoDataset,simple,threshold,Real Time,0.0, True
CellMNN,GarciaAlonsoDataset,simple,F1,Real Time,0.2857142857142857, True
CellMNN,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.2265497076023392, True
PRESCIENT,SuoDataset,all_paths,threshold,Real Time,0.0, True
PRESCIENT,SuoDataset,all_paths,F1,Real Time,0.6775956284153005, True
PRESCIENT,SuoDataset,all_paths,AUC_PRC,Real Time,0.5392814469283593, True
PRESCIENT,SuoDataset,simple,threshold,Real Time,0.0, True
