method,dataset,step_setting,metric,time_type,result,prc_threshold
Cooccurrence,SuoDataset,all_paths,threshold,Real Time,0.0010641285576363,True
Cooccurrence,SuoDataset,all_paths,F1,Real Time,0.6775956284153005,True
Cooccurrence,SuoDataset,all_paths,AUC_PRC,Real Time,0.4801838680945384,True
Cooccurrence,SuoDataset,all_paths,PRECISION,Real Time,0.512396694214876,True
Cooccurrence,SuoDataset,all_paths,RECALL,Real Time,1.0,True
Cooccurrence,SuoDataset,all_paths,AUC_ROC,Real Time,0.3687807545106616,True
Cooccurrence,SuoDataset,simple,threshold,Real Time,0.0009098932140329,True
Cooccurrence,SuoDataset,simple,F1,Real Time,0.1785714285714285,True
Cooccurrence,SuoDataset,simple,AUC_PRC,Real Time,0.1721732311805841,True
Cooccurrence,SuoDataset,simple,PRECISION,Real Time,0.0980392156862745,True
Cooccurrence,SuoDataset,simple,RECALL,Real Time,1.0,True
Cooccurrence,SuoDataset,simple,AUC_ROC,Real Time,0.6513513513513515,True
Cooccurrence,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.0961249338673634,True
Cooccurrence,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666,True
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.3610286595737949,True
Cooccurrence,GarciaAlonsoDataset,all_paths,PRECISION,Real Time,0.5,True
Cooccurrence,GarciaAlonsoDataset,all_paths,RECALL,Real Time,1.0,True
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_ROC,Real Time,0.1080246913580247,True
Cooccurrence,GarciaAlonsoDataset,simple,threshold,Real Time,0.0346126656661468,True
Cooccurrence,GarciaAlonsoDataset,simple,F1,Real Time,0.2941176470588235,True
Cooccurrence,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.1805697151424287,True
Cooccurrence,GarciaAlonsoDataset,simple,PRECISION,Real Time,0.1724137931034483,True
Cooccurrence,GarciaAlonsoDataset,simple,RECALL,Real Time,1.0,True
Cooccurrence,GarciaAlonsoDataset,simple,AUC_ROC,Real Time,0.4580645161290322,True
Cooccurrence,MaDataset,all_paths,threshold,Real Time,0.0816771415725086,True
Cooccurrence,MaDataset,all_paths,F1,Real Time,0.72,True
Cooccurrence,MaDataset,all_paths,AUC_PRC,Real Time,0.470959595959596,True
Cooccurrence,MaDataset,all_paths,PRECISION,Real Time,0.5625,True
Cooccurrence,MaDataset,all_paths,RECALL,Real Time,1.0,True
Cooccurrence,MaDataset,all_paths,AUC_ROC,Real Time,0.1746031746031746,True
Cooccurrence,MaDataset,simple,threshold,Real Time,0.0816771415725086,True
Cooccurrence,MaDataset,simple,F1,Real Time,0.5454545454545454,True
Cooccurrence,MaDataset,simple,AUC_PRC,Real Time,0.4027777777777778,True
Cooccurrence,MaDataset,simple,PRECISION,Real Time,0.375,True
Cooccurrence,MaDataset,simple,RECALL,Real Time,1.0,True
Cooccurrence,MaDataset,simple,AUC_ROC,Real Time,0.7435897435897436,True
Cooccurrence,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.1261204251745392,True
Cooccurrence,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.8,True
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.4623482909881377,True
Cooccurrence,GarciaAlonsoDataset,all_paths,PRECISION,Pseudotime,0.6666666666666666,True
Cooccurrence,GarciaAlonsoDataset,all_paths,RECALL,Pseudotime,1.0,True
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_ROC,Pseudotime,0.3549382716049383,True
Cooccurrence,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.1261204251745392,True
Cooccurrence,GarciaAlonsoDataset,simple,F1,Pseudotime,0.5882352941176471,True
Cooccurrence,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.371031746031746,True
Cooccurrence,GarciaAlonsoDataset,simple,PRECISION,Pseudotime,0.4166666666666667,True
